id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_source
06088-P-019,LOUVRE,06088,20 Bd Victor Hugo. 06000. Nice,https://fr.parkindigo.com/parking/nice-06000/louvre-06000700?utm_source=google&utm_medium=my_business&utm_campaign=fiche_my_business&utm_term=060007&utm_content=FR,tous,0,315,0,7,0,0,0,0,0,0,190,30464607800390,7.264264,43.699638,normal_payant,3.60,5.20,6.80,8.40,27.90,,182,ouvrage,Le parc comporte également 32 places non accessibles aux usagers horaires ou abonnés. ,
06157-P-001,GRANDJARDIN,06157,Place du Grand Jardin. 06140. Vence,https://sem-vence.fr/parkings/,tous,0,277,0,10,0,0,0,0,0,0,190,37937603100017,7.111232,43.722369,normal_payant,2.00,4.00,6.00,7.00,18.00,,80,ouvrage,,
06157-P-002,TOREILLE,06157,Avenue Général Leclerc. 06140. Vence,https://sem-vence.fr/parkings/,tous,0,207,0,7,0,0,0,0,0,0,190,37937603100017,7.117441,43.722489,normal_payant,2.00,4.00,6.00,7.00,18.00,,80,ouvrage,,
17300-P-001,Jean Moulin,17300,,https://yelo.agglo-larochelle.fr/bus/parcs_relais,tous,0,600,600,0,0,0,0,0,0,0,N/A,21170300400013,-1.1407494,46.1532841,gratuit,,,,,,,,enclos_en_surface,"Pour utiliser un parc-relais, il suffit de s’acquitter d’un titre de transport,<a href='https://yelo.agglo-larochelle.fr/tarifs/mode-transport-bus-velo-passeur-parc-relais#!tarifs-parcs-relais'>Informations complémentaires</a>",
17300-P-002,Les Gonthières,17300,,https://yelo.agglo-larochelle.fr/bus/parcs_relais,tous,0,70,70,0,0,0,0,0,0,0,N/A,21170300400013,-1.1522329,46.1775837,gratuit,,,,,,,,enclos_en_surface,"Pour utiliser un parc-relais, il suffit de s’acquitter d’un titre de transport,<a href='https://yelo.agglo-larochelle.fr/tarifs/mode-transport-bus-velo-passeur-parc-relais#!tarifs-parcs-relais'>Informations complémentaires</a>",
17300-P-003,Encan,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,399,0,8,0,0,0,0,0,0,200,21170300400013,-1.1498269,46.151382,gratuit,1.10,2.70,4.20,5.20,,,,enclos_en_surface,"En cas de problème ou de perte de ticket, paiement forfaitaire de 30€,Gratuité de la première demi-heure",
17300-P-004,Vieux Port Ouest,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,375,0,6,0,0,0,0,0,0,200,21170300400013,-1.1565183,46.1555279,gratuit,1.10,2.70,4.20,5.20,,,,ouvrage,"En cas de problème ou de perte de ticket, paiement forfaitaire de 30€,Gratuité de la première demi-heure",
17300-P-005,Notre Dame,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,150,0,0,0,0,0,0,0,0,N/A,21170300400013,-1.1456255,46.164776,gratuit,,,,,,,,enclos_en_surface,,
17300-P-006,Esplanade des parcs,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,200,0,0,0,0,0,0,0,0,N/A,21170300400013,-1.1544732,46.166231,gratuit,,,,,,,,enclos_en_surface,,
17300-P-007,Verdun,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,450,0,12,7,0,0,0,0,0,200,21170300400013,-1.1531777,46.1625088,gratuit,,,,,,,,ouvrage,"Forfait soirée à 1€ les vendredis, samedis, dimanches et jours fériés, entre 19h00 et 6h00 du matin,En cas de problème ou de perte de ticket, paiement forfaitaire de 30€,Gratuité de la première demi-heure,Au-delà de 12h, + 2,00€ par tranche de 4h soit 17,60€ pour 24h",
17300-P-008,Vieux Port Sud,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,477,0,15,7,80,0,0,24,0,220,21170300400013,-1.149352,46.154343,gratuit,,,,,,,,ouvrage,"Forfait soirée à 1€ les vendredis, samedis, dimanches et jours fériés, entre 19h00 et 6h00 du matin,En cas de problème ou de perte de ticket, paiement forfaitaire de 30€,Gratuité de la première demi-heure,Au-delà de 12h, + 2,00€ par tranche de 4h soit 17,60€ pour 24h",
17300-P-009,Arsenal,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,96,0,0,0,0,0,0,0,0,N/A,21170300400013,-1.1488186,46.1596199,gratuit,,,,,,,,ouvrage,,
17300-P-010,Maubec,17300,,https://www.larochelle.fr/vie-quotidienne/stationnement,tous,0,145,0,4,0,0,0,0,0,0,200,21170300400013,-1.143707,46.1577984,gratuit,1.10,2.70,4.20,5.20,,,,enclos_en_surface,"En cas de problème ou de perte de ticket, paiement forfaitaire de 30€,Gratuité de la première demi-heure",
17300-P-011,Port Neuf,17300,,https://www.larochelle.fr/vie_quotidienne/stationnement/camping-cars,tous,0,171,0,0,0,0,0,0,0,0,N/A,21170300400013,-1.1858739,46.1605732,gratuit,,,,,,,,enclos_en_surface,"Parking réservé aux camping-cars,<a href='https://www.larochelle.fr/vie-quotidienne/stationnement/camping-cars'>Informations complémentaires</a>",
33032-P-001,Parc-Relais La Gardette (Tout Public) - Tbm Keolis,33032,Chemin du Grand Came 33310 Lormont,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,241,241,5,0,0,0,0,0,5,220,80822705200012,-0.517676,44.888824,,3.10,3.10,3.10,3.10,,,,enclos_en_surface,3,1 conducteur seul, 4 pour 2 à 5 personnes dans VL,CUBPK49
33039-P-001,Parc-Relais Gare De Begles - Tbm Keolis,33039,Avenue Lénine 33130 Bègles,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,193,193,4,0,0,0,0,0,5,210,80822705200012,-0.553247,44.797293,,4.50,4.50,4.50,4.50,,,,enclos_en_surface,4,5 pour 1 à 5 passagers dans le VL,CUBPK60
33039-P-002,Begles Secheries - Metpark,33039,13 allee des Francs 33130 Bègles,http://www.parcub.com/pages/parkings_liste.html,tous,0,405,0,9,8,8,0,0,6,0,290,45333506900010,-0.539961,44.807258,,1.30,2.50,3.70,4.90,8.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK72
33056-P-001,Parking Gratuit Blanquefort Gare,33056,Rue Jean Duvert BLANQUEFORT,,tous,0,151,0,4,0,0,0,0,0,0,N/A,24330031600011,-0.623229,44.918813,,0.00,0.00,0.00,0.00,0.00,,,enclos_en_surface,Parking provisoire gratuit, attente extension P+R,CUBPK90
33063-P-042,Ars - Belcier - Indigo Park,33063,16 Rue des Maraichers 33800 Bordeaux,https://fr.parkindigo.com/,tous,0,520,0,10,4,4,0,0,14,0,190,32022964405241,-0.545941,44.822616,,1.80,4.80,7.20,8.70,17.60,,,ouvrage,,CUBPK85
33063-P-043,Carrefour - Saint Jean - Urbis Park,33063,Rue de Saget 33800 Bordeaux,https://www.urbispark.fr/parkings_et_voiries/bordeaux,tous,0,137,0,3,0,0,0,0,0,0,400,43161642400062,-0.556446,44.82902,,2.00,3.60,4.80,6.00,16.00,,,enclos_en_surface,,CUBPK86
33063-P-044,Ups Carrefour Bastide - Urbis Park,33063,Allée Serr 33100 Bordeaux,https://www.urbispark.fr/parkings_et_voiries/bordeaux,abonnés,0,158,0,3,0,0,0,0,0,0,190,43161642400062,-0.558723,44.843274,,3.20,7.40,9.70,11.00,26.80,,,enclos_en_surface,,CUBPK87
33063-P-045,Bastide Niel - Interparking,33063,105, quai des Queyries, 33100 Bordeaux,https://www.interparking-france.com/fr-FR/find-parking/ParkingBastideNiel/,abonnés,0,248,0,5,5,5,0,0,0,0,195,69205111300102,-0.558644,44.850959,,,,,,,,,enclos_en_surface,Parking de BMA, Bordeaux Métropole Amenagement, abonnés pour le moment,CUBPK92
33063-P-046,Parking Velos La Bicycletterie,33063,49 rue BOUQUIERE 33000 BORDEAUX,http://www.parcub.com/pages/parkings_liste.html,tous,0,0,0,0,0,48,0,0,0,0,N/A,45333506900010,-0.569812,44.836119,,,,,,,,,ouvrage,abonnement vélos seuls 2,50 par mois,CUBPK93
33063-P-047,P4 Belcier - Gare Saint Jean - Indigo Park,33063,Pont du Guit, angle rue d'Armagnac,https://www.group-indigo.com/fr/reference/parking-p3-gare-saint-jean-belcier/,tous,0,711,0,16,9,9,0,0,37,0,185,32022964405241,-0.555241,44.822334,,3.60,8.80,12.00,12.80,27.80,,,ouvrage,accès identique pour P4 et P3 Indigo Belcier - Saint Jean,CUBPK94
33063-P-048,Grand Parc - Metpark,33063,Rue François Lévêque 33000 Bordeaux,http://www.parcub.com/,tous,0,355,0,8,8,8,0,0,15,0,200,45333506900010,-0.578423,44.863006,,2.00,4.80,7.20,8.80,18.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK95
33063-P-049,Ginko Indigo Park,33063,rue Jean Royer 33000 Bordeaux,,tous,0,952,0,20,7,7,0,0,0,0,190,32022964405241,-0.568648,44.880387,,0.00,0.00,2.40,4.80,18.00,,,ouvrage,Propriété Bouygues Immobilier, ouverture progressive printemps 2020,CUBPK99
33069-P-001,Parc-Relais Ravezies Le Bouscat - Tbm Keolis,33069,Allées de Boutaut 33110 Le Bouscat,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,369,369,9,2,2,0,0,26,10,200,80822705200012,-0.576414,44.867029,,4.50,4.50,4.50,4.50,,,,ouvrage,4,5 pour 1 à 5 passagers dans le VL,CUBPK54
33069-P-002,Liberation - Metpark,33069,Avenue de la Libération 33110 Le Bouscat,http://www.parcub.com/pages/parkings_liste.html,tous,0,138,0,3,0,0,0,0,0,0,180,45333506900010,-0.595144,44.855743,,1.30,2.50,3.70,4.90,8.00,,,ouvrage,ancien nom: BARRIERE DU MEDOC,CUBPK38
33069-P-003,Laharpe - Metpark,33069,Avenue d'Eysines 33200 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,79,0,2,0,0,0,0,0,0,210,45333506900010,-0.596152,44.854052,,1.50,2.90,4.50,6.10,17.00,,,ouvrage,ancien nom: IDDAC,CUBPK74
33069-P-004,Parc-Relais De L'Hippodrome -Tbm Keolis,33069,Avenue de l'Hippodrome,https://www.infotbm.com/fr/parc-relais/parc-relais-hippodrome,tous,0,240,240,7,5,5,0,0,0,0,190,80822705200012,-0.628797,44.873913,,4.50,4.50,4.50,4.50,,,,enclos_en_surface,,CUBPK98
33075-P-001,Parc-Relais Gare De Blanquefort - Tbm Keolis,33075,Rue Jean Duvert 33290 Blanquefort,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,206,206,5,4,4,0,0,0,5,N/A,80822705200012,-0.622717,44.918112,,4.50,4.50,4.50,4.50,,,,enclos_en_surface,4,5 pour 1 à 5 passagers dans le VL,CUBPK76
33075-P-002,Victor Hugo - Metpark,33063,Cours Victor Hugo 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,667,0,14,4,4,0,0,29,0,180,45333506900010,-0.572494,44.835496,,2.20,4.20,6.40,7.80,18.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK16
33075-P-003,Victoire - Metpark,33063,Place de la Victoire 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,472,0,10,2,2,0,0,10,0,180,45333506900010,-0.5719,44.831029,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK29
33075-P-004,Tourny - Urbis Park,33063,Sous les Allées de tourny - 33000 BORDEAUX,https://www.urbispark.fr/parkings_et_voiries/bordeaux/tourny,tous,0,957,0,20,2,2,0,0,11,0,185,43161642400062,-0.576971,44.844767,,2.40,6.10,8.10,10.10,28.40,,,ouvrage,Abonnement gratuit pour les vélos,CUBPK03
33075-P-005,Pey Berland - Saint Christoly - Metpark,33063,Place Pey Berland 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,656,0,20,4,4,0,0,30,0,180,45333506900010,-0.576257,44.838022,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK25
